Ciudad 1,Costo ciudad 1,Coordenada X Ciudad 1,Coordenada Y Ciudad 1,Ciudad 2,Costo ciudad 2,Coordenada X Ciudad 2,Coordenada Y Ciudad 2,Costo del enlace
Seattle,64,682,768,Portland,141,545,1179,174
Wichita,54,4139,3126,Tulsa,121,4374,3420,174
Eau Claire,101,4875,1552,Madison,59,5226,1880,175
Ellensburg,117,896,939,Spokane,80,1340,884,175
Grand Rapids,138,5773,1811,Chicago,56,5512,2095,175
Marathon,125,3196,4667,Del Rio,138,3597,4844,175
Norfolk,66,7429,2742,Raleigh,69,7126,3047,175
Winnemucca,67,1074,2264,Wells,66,1498,2291,175
Bonners Ferry,92,1517,683,Wet Glacier,124,1884,885,176
Clovis,103,3226,3817,Roswell,118,3000,4011,176
Dubuque,55,5037,2025,Chicago,56,5512,2095,176
Roswell,118,3000,4011,Lubbock,113,3439,4012,176
Salina UT,125,4059,2830,Kansas City,61,4550,2806,176
Sioux Falls,143,4165,1889,Albert Lea,67,4640,1828,176
Cairo,66,5433,3109,Nashville,137,5837,3228,177
Charleston WV,66,6552,2638,Lexington,84,6123,2784,177
Chicago,56,5512,2095,Davenport,72,5100,2204,177
Portland,141,7860,1131,HullsCove,144,8091,890,177
Raton,117,3036,3313,Tucumcari,67,3135,3662,177
Columbus,137,6277,2348,Indianapolis,82,5808,2474,178
Knoxville,113,6293,3195,Nashville,137,5837,3228,178
Laredo TX,78,3850,5231,Del Rio,138,3597,4844,178
Minneapolis,77,4662,1555,Decorah,98,4877,1878,178
Needles,133,1382,3603,Williams,105,1706,3591,178
Grants Pass,146,309,1790,Redding,75,372,2197,179
Guanajuato,80,1023,900,Salamanca,90,1040,915,179
Guaymas,80,426,367,Hermosillo,80,411,317,179
Jefferson City,90,4914,2870,Ft. Scott,69,4545,3064,179
Casper,57,2787,2059,Cheyenne,112,3003,2422,180
Charleston WV,66,6552,2638,Roanoke,74,6851,2803,180
Ft. Smith,145,4631,3583,Oklahoma City,122,4136,3580,180
Ft. Smith,145,4631,3583,Texarkana,134,4714,3940,180
Hermosillo,80,411,317,Santa Ana,60,404,192,180
Hidalgo del Parral,80,687,434,Chihuahua,130,707,332,180
Jackson,98,5366,4133,New Orleans,126,5444,4615,180
Memphis,60,5337,3549,Columbus,137,5631,3853,180
Oklahoma,86,4136,3580,Ft. Smith,145,4631,3583,180
Texarkana,134,4714,3940,Dallas,96,4276,4124,180
Texarkana,134,4714,3940,Lake Village,102,5163,3946,180
Valladolid,90,6023,6538,M‚rida,80,5811,6550,180
Barstow,79,999,3543,San Diego,98,919,3981,181
Lubbock,113,3439,4012,Vernon,142,3856,3863,181
Wells,66,1498,2291,Salt Lake City,139,1940,2428,181
Atlanta,94,6280,3650,Tifton,92,6505,4099,182
Hidalgo del Parral,80,687,434,Durango,90,808,681,182
New York,136,7549,1877,Newport,129,7892,1592,182
San Francisco,98,249,2779,Fresno,143,612,3086,182
Yuma,116,1333,4032,Phoenix,92,1767,3923,182
Columbus,137,5631,3853,Lake Village,102,5163,3946,183
Hidalgo del Parral,80,687,434,Topolobampo,110,540,511,183
Springfield MO,120,4781,3156,Tulsa,121,4374,3420,183
Albany,144,7458,1488,Scranton,79,7272,1810,184
Kearney,101,3633,2510,Dakley,142,3524,2840,184
Lake Village,102,5163,3946,Alexandria,107,5021,4388,184
Williston,77,3188,954,Mller City,117,2874,1317,184
Chicago,56,5512,2095,Indianapolis,82,5808,2474,185
Fargo,56,4106,1214,Aberdeen,70,3902,1510,185
Seattle,64,682,768,Astoria,106,421,1008,185
Dallas,96,4276,4124,Shreveport,109,4778,4127,186
Ft. Stockton,135,3273,4532,Del Rio,138,3597,4844,186
Grand Rapids,138,5773,1811,Toledo,146,6129,2021,186
Richmond,52,7221,2646,Roanoke,74,6851,2803,186
Salina KS,131,1892,2862,Springdale,106,1696,3182,186
Burns,56,962,1686,Boise,66,1377,1740,187
Corpus Christi,109,4193,5160,Laredo TX,78,3850,5231,187
Huizache,50,1084,754,Ciudad Victoria,80,1183,703,187
Pittsburgh,115,6701,2161,Columbus,137,6277,2348,187
V¡ctoria,145,4270,4956,Laredo TX,78,3850,5231,187
Iguala,90,1155,1071,Ciudad Altamirano,110,1083,1052,188
Lincoln,98,4175,2476,Salina KS,131,4059,2830,188
Puebla,90,4242,7152,C¢rdoba,91,4518,7139,188
Raton,117,3036,3313,Guymon,85,3491,3358,188
San Luis Potos¡,82,3987,6419,Aguascalientes,100,3410,6528,188
Brownwood,113,3843,4316,San Antonio,109,4012,4842,189
Flagstaff,59,1865,3591,Gallup,113,2327,3565,189
Iguala,90,1155,1071,Cuernavaca,100,1170,1026,189
Jackson,98,5366,4133,Alexandria,107,5021,4388,189
Jalapa,90,4442,6973,Tlaxcala,100,4216,7024,189
Kit Carson,68,3279,2926,Raton,117,3036,3313,189
Socorro,100,2609,3873,El Paso,136,2668,4318,189
Ensenada,50,957,4182,San Quint¡n,76,1061,4474,190
Janos,90,590,177,Agua Prieta,110,515,157,190
Sioux City,82,4227,2117,Grand Island,60,3777,2421,190
Buffalo,104,6755,1643,Cleveland,73,6409,2005,191
Fargo,56,4106,1214,Bismarck,84,3583,1238,191
Gallup,113,2327,3565,Socorro,100,2609,3873,191
Pierre,104,3653,1727,Rapid City,103,3228,1802,191
Sacramento,58,425,2653,Yosemite Natïl Park,146,730,2902,191
Springfield MO,120,4781,3156,Poplar Bluff,136,5248,3196,191
Kansas City,61,4550,2806,Wichita,54,4139,3126,192
Mackinaw,146,5806,1227,Saginaw,122,6003,1680,192
M‚rida,80,5811,6550,Campeche,100,5684,6810,192
La Paz,70,429,650,Cabo San Lucas,70,455,710,193
Des Moines,112,4649,2263,Kansas City,61,4550,2806,194
Manzanillo,80,820,998,Colima,50,860,1005,194
Manzanillo,80,820,998,Playa Azul,100,973,1070,194
Dallas,96,4276,4124,Austin,129,4138,4658,195
Mobile,89,5771,4427,Baton Rouge,109,5251,4545,195
San Luis Obispo,66,430,3352,Los Angeles,62,775,3677,195
Meridian,126,5611,4094,New Orleans,126,5444,4615,196
Columbus,137,5631,3853,Montgomery,91,6013,4028,197
Hannibal,80,5017,2613,St. Joseph,140,4489,2669,197
Houston,131,4549,4737,San Antonio,109,4012,4842,197
Cincinnati,52,6077,2557,Charleston WV,66,6552,2638,198
New York,136,7549,1877,Harrisburg,101,7159,2083,198
Craig,144,2573,2536,Denver,125,2965,2706,199
Green Bay,100,5369,1550,La Crosse,130,4942,1762,199
Pendleton,67,1081,1258,Burns,56,962,1686,199
Poplar Bluff,136,5248,3196,Little Rock,138,4970,3681,199
Spokane,80,1340,884,Missoula,82,1784,1115,199
Eau Claire,101,4875,1552,Green Bay,100,5369,1550,200
Lakeview,134,759,1942,Redding,75,372,2197,200
Sioux City,82,4227,2117,Des Moines,112,4649,2263,200
Spokane,80,1340,884,Pendleton,67,1081,1258,200
Chicago,56,5512,2095,Springfield IL,94,5267,2566,201
Matamoros,80,1233,529,Reynosa,90,1186,516,201
Redding,75,372,2197,Reno,138,712,2506,201
Richmond,52,7221,2646,Greensboro,120,6900,3059,201
Topolobampo,110,2233,5520,Ciudad Obreg¢n,106,2038,5174,201
Bismarck,84,3583,1238,Aberdeen,70,3902,1510,202
Augusta,115,6679,3639,Tifton,92,6505,4099,203
Dubuque,55,5037,2025,Des Moines,112,4649,2263,203
Laredo TX,78,3850,5231,Brownsville,83,4206,5550,203
Madison,59,5226,1880,Peoria,142,5251,2375,203
Snyder,129,3586,4154,Carlsbad,94,3119,4234,203
Harrisburg,101,7159,2083,Pittsburgh,115,6701,2161,204
Roswell,118,3000,4011,El Paso,136,2668,4318,204
Wilmington,146,7307,3333,Charlotte,144,6861,3274,204
Butte,71,1955,1317,Idaho Falls,97,1967,1855,205
Mexicalli,90,167,34,San Felipe,70,176,154,205
Mller City,117,2874,1317,Sheridan,55,2709,1640,205
Reno,138,712,2506,Bishop,60,860,3002,205
San Luis Potos¡,82,3987,6419,Quer‚taro,64,3868,6765,205
Asheville,69,6524,3228,Atlanta,94,6280,3650,206
Culiac n,126,2523,5878,Topolobampo,110,2233,5520,206
Mexicalli,90,167,34,Tijuana,110,87,36,206
Montgomery,91,6013,4028,Tifton,92,6505,4099,207
Idaho Falls,97,1967,1855,Salt Lake City,139,1940,2428,208
Oklahoma,86,4136,3580,Dallas,96,4276,4124,208
St. Louis,127,5217,2808,Springfield MO,120,4781,3156,208
Great Bend,61,3907,2987,Grand Island,60,3777,2421,209
Cincinnati,52,6077,2557,Toledo,146,6129,2021,210
Minot,86,3501,952,Grand Forks,122,4081,1003,210
Nashville,137,5837,3228,Memphis,60,5337,3549,210
Boston,98,7845,1429,New York,136,7549,1877,211
Wet Glacier,124,1884,885,Great Falls,141,2163,1026,211
Durango CO,79,2499,3222,Albuquerque,105,2666,3670,212
Durango CO,79,2499,3222,Santa Fe,138,2783,3552,212
Indianapolis,82,5808,2474,Springfield IL,94,5267,2566,212
St. Joseph,140,4489,2669,Salina KS,131,4059,2830,212
Watertown SD,57,4121,1606,Minneapolis,77,4662,1555,212
Bismarck,84,3583,1238,Pierre,104,3653,1727,213
Columbia,148,6811,3497,Atlanta,94,6280,3650,213
Green River,91,2214,2845,Durango CO,79,2499,3222,213
Memphis,60,5337,3549,Jackson,98,5366,4133,213
Peoria,142,5251,2375,Indianapolis,82,5808,2474,213
San Angelo,122,3670,4425,San Antonio,109,4012,4842,213
Cody,62,2491,1667,Casper,57,2787,2059,214
Hannibal,80,5017,2613,Kansas City,61,4550,2806,214
Lexington,84,6123,2784,Nashville,137,5837,3228,214
Montgomery,91,6013,4028,Tallahassee,57,6415,4323,214
Raton,117,3036,3313,Amarillo,149,3440,3647,214
Ely,63,1458,2684,St. George,142,1599,3168,215
Knoxville,113,6293,3195,Atlanta,94,6280,3650,215
Lakeview,134,759,1942,Winnemucca,67,1074,2264,215
Little Rock,138,4970,3681,Shreveport,109,4778,4127,215
M‚xico,132,4057,7037,Quer‚taro,64,3868,6765,215
Redding,75,372,2197,San Francisco,98,249,2779,215
Cisco,85,3849,4194,Odessa,126,3338,4309,216
Las Vegas,51,1335,3328,Williams,105,1706,3591,216
Socorro,100,2609,3873,Lordsburg,61,2305,4193,216
Asheville,69,6524,3228,Augusta,115,6679,3639,217
Buffalo,104,6755,1643,Pittsburgh,115,6701,2161,217
Port Angeles,89,523,614,Astoria,106,421,1008,217
Watertown NY,77,7097,1321,Buffalo,104,6755,1643,217
TwinFalls,73,1600,1998,Salt Lake City,139,1940,2428,218
Pendleton,67,1081,1258,Boise,66,1377,1740,219
Springfield MO,120,4781,3156,Little Rock,138,4970,3681,219
Burns,56,962,1686,Winnemucca,67,1074,2264,220
Mackinaw,146,5806,1227,Grand Rapids,138,5773,1811,220
Eureka,52,119,2102,Coos Bay,91,217,1587,221
North Platte,132,3435,2415,Cheyenne,112,3003,2422,221
Bilings,64,2502,1417,Great Falls,141,2163,1026,222
Jackson,98,5366,4133,Shreveport,109,4778,4127,222
Livingston,143,2181,1568,Idaho Falls,97,1967,1855,222
Williams,105,1706,3591,Blythe,118,1350,3846,222
Corinth,57,5582,3550,Birmigham,131,5888,3809,223
Los Angeles,62,775,3677,Blythe,118,1350,3846,223
Rapid City,103,3228,1802,Sioux Falls,143,4165,1889,224
Ely,63,1458,2684,Salina UT,125,1892,2862,225
Felipe Carrillo Puerto,60,6122,6726,Canc£n,111,6238,6512,226
Mazatl n,111,2795,6323,Culiac n,126,2523,5878,226
Asheville,69,6524,3228,Chattanoga,107,6109,3410,227
San Francisco,98,249,2779,San Luis Obispo,66,430,3352,227
Raleigh,69,7126,3047,Columbia,148,6811,3497,228
Durango,90,3010,6064,Torre¢n,139,3262,5674,229
Pittsburgh,115,6701,2161,Charleston WV,66,6552,2638,229
Ft. Scott,69,4545,3064,Ft. Smith,145,4631,3583,230
Monclova,70,999,472,Piedras Negras,100,1041,338,230
Havre,74,2379,825,Wet Glacier,124,1884,885,231
Rawlins,61,2637,2276,Estes Park,134,2873,2583,231
Bluefield,87,6650,2848,Asheville,69,6524,3228,233
International Falls,94,4547,834,Grand Forks,122,4081,1003,233
Mller City,117,2874,1317,Rapid City,103,3228,1802,233
Roswell,118,3000,4011,Snyder,129,3586,4154,233
Ft. Worth,53,4122,4122,Snyder,129,3586,4154,236
Monterrey,90,1077,529,Ciudad Victoria,80,1183,703,236
Monterrey,90,1077,529,Monclova,70,999,472,236
Monterrey,90,1077,529,Nuevo Laredo,100,1098,418,236
Shreveport,109,4778,4127,Houston,131,4549,4737,236
Washington,125,7212,2363,Roanoke,74,6851,2803,236
Morelia,90,1035,983,Playa Azul,100,973,1070,237
Yuma,116,1333,4032,Tucson,88,1924,4189,237
El Paso,136,2668,4318,Ft. Stockton,135,3273,4532,238
Lakeview,134,759,1942,Reno,138,712,2506,238
Morelia,90,1035,983,Salamanca,90,1040,915,238
Salina KS,131,1892,2862,Page,114,1980,3283,238
Ely,63,1458,2684,Spanish Fork,98,1931,2643,239
Nuevo Laredo,100,1098,418,Piedras Negras,100,1041,338,239
Charlotte,144,6861,3274,Atlanta,94,6280,3650,240
Fargo,56,4106,1214,Minneapolis,77,4662,1555,240
Mobile,89,5771,4427,Tallahassee,57,6415,4323,240
Salt Lake City,139,1940,2428,Ely,63,1458,2684,241
Springfield IL,94,5267,2566,Cairo,66,5433,3109,242
Oaxaca,100,1316,1142,Puerto Angel,90,1343,1209,243
Wet Glacier,124,1884,885,Helena,149,2037,1196,243
Dallas,96,4276,4124,Houston,131,4549,4737,244
Toledo,146,6129,2021,Chicago,56,5512,2095,244
Ely,63,1458,2684,Las Vegas,51,1335,3328,245
Spokane,80,1340,884,Biggs,119,802,1213,245
Denver,125,2965,2706,Grand Junction,132,2416,2832,246
Indianapolis,82,5808,2474,St. Louis,127,5217,2808,246
Little Rock,138,4970,3681,Alexandria,107,5021,4388,247
Memphis,60,5337,3549,Birmigham,131,5888,3809,247
Sheridan,55,2709,1640,Rapid City,103,3228,1802,247
St. George,142,1599,3168,Spanish Fork,98,1931,2643,247
Bonners Ferry,92,1517,683,Missoula,82,1784,1115,249
El Paso,136,2668,4318,Marathon,125,3196,4667,249
Charleston WV,66,6552,2638,Cleveland,73,6409,2005,250
Clovis,103,3226,3817,Vernon,142,3856,3863,250
Pachuca,100,1184,914,Tuxpan,110,1247,853,250
Pinotepa Nacional,100,1256,1190,Acapulco,100,1139,1150,250
Pittsburgh,115,6701,2161,Washington,125,7212,2363,251
Playa Azul,100,973,1070,Zihuatanejo,90,1040,1116,251
Rapid City,103,3228,1802,Casper,57,2787,2059,251
Atlanta,94,6280,3650,Savannah,78,6885,3887,252
Denver,125,2965,2706,Dakley,142,3524,2840,253
Duluth,92,4745,1167,Marquette,114,5402,1129,253
Kansas City,61,4550,2806,St. Louis,127,5217,2808,253
Kearney,101,3633,2510,Dodge City,56,3716,3125,253
Meridian,126,5611,4094,Baton Rouge,109,5251,4545,253
Wichita,54,4139,3126,Guymon,85,3491,3358,253
Dodge City,56,3716,3125,Oklahoma City,122,4136,3580,254
Roanoke,74,6851,2803,Asheville,69,6524,3228,254
Tampico,80,4208,6394,San Luis Potos¡,82,3987,6419,254
Fargo,56,4106,1214,Duluth,92,4745,1167,255
Boise,66,1377,1740,Winnemucca,67,1074,2264,256
Roanoke,74,6851,2803,Knoxville,113,6293,3195,257
International Falls,94,4547,834,Fargo,56,4106,1214,258
Louisville,105,5924,2780,Cairo,66,5433,3109,258
St. Louis,127,5217,2808,Louisville,105,5924,2780,258
Oklahoma,86,4136,3580,Amarillo,149,3440,3647,259
Richmond,52,7221,2646,Wilmington,146,7307,3333,259
Klamath Falls,136,520,1873,Reno,138,712,2506,260
Minot,86,3501,952,Fargo,56,4106,1214,260
Puerto Angel,90,1343,1209,Pinotepa Nacional,100,1256,1190,260
Bluefield,87,6650,2848,Columbia,148,6811,3497,261
Puerto Vallarta,90,749,906,Manzanillo,80,820,998,261
Birmigham,131,5888,3809,Mobile,89,5771,4427,262
Bishop,60,860,3002,Las Vegas,51,1335,3328,262
North Platte,132,3435,2415,Denver,125,2965,2706,262
Grand Forks,122,4081,1003,Duluth,92,4745,1167,264
Jacksoville,126,6858,4266,Augusta,115,6679,3639,264
Pierre,104,3653,1727,North Platte,132,3435,2415,264
Reynosa,90,1186,516,Nuevo Laredo,100,1098,418,264
Des Moines,112,4649,2263,Peoria,142,5251,2375,266
Bishop,60,860,3002,Los Angeles,62,775,3677,267
Harrisburg,101,7159,2083,Youngstown,51,6557,2081,269
Minneapolis,77,4662,1555,Sioux Falls,143,4165,1889,269
North Platte,132,3435,2415,Kit Carson,68,3279,2926,269
Norfolk,66,7429,2742,Wilmington,146,7307,3333,270
Philadelphia,141,7410,2084,Norfolk,66,7429,2742,270
Pueblo,114,3006,3017,Durango CO,79,2499,3222,270
Saltillo,70,1014,548,Huizache,50,1084,754,270
Des Moines,112,4649,2263,Hannibal,80,5017,2613,271
Saltillo,70,1014,548,Monclova,70,999,472,271
Sono¡ta,149,1479,4176,Mexicalli,90,1151,3994,271
Winnemucca,67,1074,2264,Ely,63,1458,2684,271
Bismarck,84,3583,1238,Mller City,117,2874,1317,272
Kit Carson,68,3279,2926,Amarillo,149,3440,3647,272
Francisco Esc rcega,112,5646,7059,Chetumal,110,6066,6979,273
Minot,86,3501,952,Aberdeen,70,3902,1510,273
Saltillo,70,1014,548,Monterrey,90,1077,529,273
Pueblo,114,3006,3017,Dodge City,56,3716,3125,274
Acayucan,110,4822,7370,Tuxtla Guti‚rrez,147,5156,7523,275
Las Vegas,51,1335,3328,Page,114,1980,3283,275
Phoenix,92,1767,3923,Lordsburg,61,2305,4193,275
San Felipe,70,176,154,Ensenada,50,100,93,275
Tallahassee,57,6415,4323,Tampa,126,6823,4768,275
Tehuantepec,80,4785,7629,Tuxtla Guti‚rrez,147,5156,7523,275
Dodge City,56,3716,3125,Vernon,142,3856,3863,277
Lincoln,98,4175,2476,Wichita,54,4139,3126,277
Torre¢n,139,3262,5674,Saltillo,70,3607,5638,277
Chicago,56,5512,2095,Detroit,114,6166,1872,278
Mazatl n,111,2795,6323,Tepic,110,2926,6586,278
San Antonio,109,4012,4842,Brownsville,83,4206,5550,278
Boise,66,1377,1740,Idaho Falls,97,1967,1855,281
El Paso,136,2668,4318,Odessa,126,3338,4309,281
Eureka,52,119,2102,San Francisco,98,249,2779,281
Springfield MO,120,4781,3156,Memphis,60,5337,3549,281
Durango CO,79,2499,3222,Raton,117,3036,3313,282
San Francisco,98,249,2779,Bakersfield,54,695,3388,282
Duluth,92,4745,1167,Escanaba,123,5458,1279,283
Durango,90,3010,6064,Mazatl n,111,2795,6323,283
Ely,63,1458,2684,Bishop,60,860,3002,283
Grand Junction,132,2416,2832,Pueblo,114,3006,3017,285
Las Vegas,51,1335,3328,Phoenix,92,1767,3923,287
Wichita,54,4139,3126,Springfield MO,120,4781,3156,287
Buffalo,104,6755,1643,Harrisburg,101,7159,2083,288
Buffalo,104,6755,1643,Scranton,79,7272,1810,289
Harrisburg,101,7159,2083,Roanoke,74,6851,2803,289
Santo Domingo,60,343,556,La Paz,70,429,650,289
Ft. Smith,145,4631,3583,Memphis,60,5337,3549,291
Los Angeles,62,775,3677,Yuma,116,1333,4032,291
Salt Lake City,139,1940,2428,Craig,144,2573,2536,294
Texarkana,134,4714,3940,Houston,131,4549,4737,294
Decorah,98,4877,1878,Hannibal,80,5017,2613,296
Indianapolis,82,5808,2474,Grand Rapids,138,5773,1811,296
Springfield MO,120,4781,3156,Atoka,77,4371,3791,296
Lexington,84,6123,2784,Cairo,66,5433,3109,297
Savannah,78,6885,3887,Tallahassee,57,6415,4323,299
Minneapolis,77,4662,1555,Sioux City,82,4227,2117,300
Rapid City,103,3228,1802,Cheyenne,112,3003,2422,300
Chetumal,110,6066,6979,M‚rida,80,5811,6550,301
Green River,91,2214,2845,Gallup,113,2327,3565,302
Villa Hermosa,90,5254,7254,Francisco Esc rcega,112,5646,7059,304
Roswell,118,3000,4011,Lordsburg,61,2305,4193,305
Havre,74,2379,825,Williston,77,3188,954,307
Indianapolis,82,5808,2474,Cairo,66,5433,3109,311
Charleston WV,66,6552,2638,Knoxville,113,6293,3195,314
Page,114,1980,3283,Gallup,113,2327,3565,314
Tehuantepec,80,1420,1170,Oaxaca,100,1316,1142,315
Durango CO,79,2499,3222,Flagstaff,59,1865,3591,316
Lake Village,102,5163,3946,New Orleans,126,5444,4615,316
Duluth,92,4745,1167,Green Bay,100,5369,1550,317
Reno,138,712,2506,Ely,63,1458,2684,317
Santa Rosal¡a,71,1592,5213,Santo Domingo,60,1661,5664,317
Tehuantepec,80,1420,1170,Puerto Angel,90,1343,1209,317
Durango CO,79,2499,3222,Grand Canyon,112,1802,3407,318
Pierre,104,3653,1727,Grand Island,60,3777,2421,318
Rapid City,103,3228,1802,North Platte,132,3435,2415,318
Ft. Stockton,135,3273,4532,San Antonio,109,4012,4842,319
Winnemucca,67,1074,2264,Bishop,60,860,3002,319
Tepic,110,779,844,Puerto Vallarta,90,749,906,320
Dubuque,55,5037,2025,Sioux City,82,4227,2117,325
Birmigham,131,5888,3809,Tifton,92,6505,4099,326
Mller City,117,2874,1317,Great Falls,141,2163,1026,327
Shreveport,109,4778,4127,Austin,129,4138,4658,327
Peoria,142,5251,2375,Ft. Wayne,134,5916,2189,329
Richmond,52,7221,2646,Charleston WV,66,6552,2638,331
Monclova,70,3564,5395,Torre¢n,139,3262,5674,332
Tijuana,110,87,36,Ensenada,50,100,93,332
Gainesville,74,6769,4480,Miami,87,7302,5105,333
Gallup,113,2327,3565,Tucson,88,1924,4189,334
Toluca,110,1137,993,Atlacomulco,90,1128,953,339
Havre,74,2379,825,Mller City,117,2874,1317,344
Toluca,110,1137,993,Morelia,90,1035,983,344
Vernon,142,3856,3863,Texarkana,134,4714,3940,345
Ft. Stockton,135,3273,4532,Austin,129,4138,4658,347
Pierre,104,3653,1727,Sioux Falls,143,4165,1889,347
Pittsburgh,115,6701,2161,Roanoke,74,6851,2803,347
Savannah,78,6885,3887,Montgomery,91,6013,4028,347
Williston,77,3188,954,Rapid City,103,3228,1802,352
Chihuahua,130,2717,4947,Ju rez,94,2668,4320,354
Pendleton,67,1081,1258,Missoula,82,1784,1115,356
Bishop,60,860,3002,San Diego,98,919,3981,359
Ft. Wayne,134,5916,2189,Pittsburgh,115,6701,2161,362
Santa Ana,60,1838,4499,Sono¡ta,149,1479,4176,362
Tuxpan,110,1247,853,Tampico,80,1221,784,363
Idaho Falls,97,1967,1855,Rawlins,61,2637,2276,368
Escanaba,123,5458,1279,Minneapolis,77,4662,1555,369
Harrisburg,101,7159,2083,Charleston WV,66,6552,2638,369
Tuxpan,110,1247,853,Veracruz,90,1348,996,369
Washington,125,7212,2363,Charleston WV,66,6552,2638,369
Missoula,82,1784,1115,Boise,66,1377,1740,371
Chicago,56,5512,2095,Cairo,66,5433,3109,375
Idaho Falls,97,1967,1855,Casper,57,2787,2059,375
Texarkana,134,4714,3940,Austin,129,4138,4658,375
Sioux Falls,143,4165,1889,Dubuque,55,5037,2025,376
Zacatecas,90,3401,6301,Torre¢n,139,3262,5674,376
Phoenix,92,1767,3923,Socorro,100,2609,3873,377
Denver,125,2965,2706,Durango CO,79,2499,3222,379
Minneapolis,77,4662,1555,Omaha,106,4298,2366,380
Tampico,80,4208,6394,Quer‚taro,64,3865,6758,380
Veracruz,90,1348,996,Alvarado,80,1386,1042,380
Des Moines,112,4649,2263,Springfield MO,120,4781,3156,383
Spokane,80,1340,884,Boise,66,1377,1740,385
Helena,149,2037,1196,Mller City,117,2874,1317,387
Veracruz,90,1348,996,Jalapa,90,1302,965,387
Tuxtla Guti‚rrez,147,5156,7523,Villa Hermosa,90,5254,7254,395
Casper,57,2787,2059,North Platte,132,3435,2415,397
New York,136,7549,1877,Youngstown,51,6557,2081,416
Tapachula,80,5330,7830,Thehuantepec,108,5156,7523,418
Zacatecas,90,943,755,Aguascalientes,100,946,826,418
Columbus,137,6277,2348,Washington,125,7212,2363,420
Pueblo,114,3006,3017,Great Bend,61,3907,2987,424
Rapid City,103,3228,1802,Sioux City,82,4227,2117,429
Zacatecas,90,943,755,Durango,90,808,681,430
Omaha,106,4298,2366,Tulsa,121,4374,3420,435
Reno,138,712,2506,Las Vegas,51,1335,3328,445
Torre¢n,139,3262,5674,Chihuahua,130,2717,4947,460
Zacatecas,90,943,755,Guadalajara,70,886,909,460
Salt Lake City,139,1940,2428,Rawlins,61,2637,2276,465
TwinFalls,73,1600,1998,Rawlins,61,2637,2276,465
Winnemucca,67,1074,2264,Las Vegas,51,1335,3328,466
Missoula,82,1784,1115,TwinFalls,73,1600,1998,471
Mller City,117,2874,1317,Aberdeen,70,3902,1510,473
Zacatecas,90,943,755,Saltillo,70,1014,548,492
Culiac n,126,2523,5878,Hidalgo del Parral,80,2659,5274,500
Bismarck,84,3583,1238,Great Falls,141,2163,1026,548
Casper,57,2787,2059,Sioux City,82,4227,2117,558
San Quint¡n,76,1061,4474,Santa Rosal¡a,71,1592,5213,605
Zihuatanejo,90,1040,1116,Acapulco,100,1139,1150,605
